Track	Title	Authors	Acceptance_Status
Information Retrieval and Text Mining	Improving Embedding-based Large-scale Retrieval via Label Enhancement	Peiyang Liu, Xi Wang, Sen Wang, Wei Ye, Xiangyu Xi and Shikun Zhang	Accept-Findings
Information Retrieval and Text Mining	Dense Hierarchical Retrieval for Open-domain Question Answering	Ye Liu, Kazuma Hashimoto, Yingbo Zhou, Semih Yavuz, Caiming Xiong and Philip Yu	Accept-Findings
Information Retrieval and Text Mining	An Unsupervised Method for Building Sentence Simplification Corpora in Multiple Languages	Xinyu Lu, Jipeng Qiang, Yun Li, Yunhao Yuan and Yi Zhu	Accept-Findings
Information Retrieval and Text Mining	Multi-Task Dense Retrieval via Model Uncertainty Fusion for Open-Domain Question Answering	Minghan Li, Ming Li, Kun Xiong and Jimmy Lin	Accept-Findings
Information Retrieval and Text Mining	Recall and Learn: A Memory-augmented Solver for Math Word Problems	Shifeng Huang, Jiawei Wang, Jiao Xu, Da Cao and Ming Yang	Accept-Findings
Information Retrieval and Text Mining	Robust Fragment-Based Framework for Cross-lingual Sentence Retrieval	Nattapol Trijakwanich, Peerat Limkonchotiwat, Raheem Sarwar, Wannaphong Phatthiyaphaibun, Ekapol Chuangsuwanich and Sarana Nutanong	Accept-Findings
Information Retrieval and Text Mining	Geo-BERT Pre-training Model for Query Rewriting in POI Search	Xiao Liu, Juan Hu, Qi Shen and Huan Chen	Accept-Findings
Information Retrieval and Text Mining	Leveraging Bidding Graphs for Advertiser-Aware Relevance Modeling in Sponsored Search	Shuxian Bi, Chaozhuo Li, Xiao Han, Zheng Liu, Xing Xie, Haizhen Huang and Zengxuan Wen	Accept-Findings
Information Retrieval and Text Mining	Context-aware Entity Typing in Knowledge Graphs	Weiran Pan, Wei Wei and Xian-Ling Mao	Accept-Findings
Information Retrieval and Text Mining	Enhancing Dual-{E}ncoders with Question and Answer Cross-{E}mbeddings for Answer Retrieval	Yanmeng Wang, Jun Bai, Ye Wang, Jianfei Zhang, Wenge Rong, Zongcheng Ji, Shaojun Wang and Jing Xiao	Accept-Findings
Information Retrieval and Text Mining	{RollingLDA}: {A}n Update Algorithm of Latent {D}irichlet Allocation to Construct Consistent Time Series from Textual Data	Jonas Rieger, Carsten Jentsch and Jörg Rahnenführer	Accept-Findings
Information Retrieval and Text Mining	Refining BERT Embeddings for Document Hashing via Mutual Information Maximization	Zijing Ou, Qinliang Su, Jianxing Yu, Ruihui Zhao, Yefeng Zheng and Bang Liu	Accept-Findings
Information Retrieval and Text Mining	{G}ated {T}ransformer for {R}obust {D}e-noised {S}equence-to-{S}equence {M}odelling	Ayan Sengupta, Amit Kumar, Sourabh Kumar Bhattacharjee and Suman Roy	Accept-Findings
Information Retrieval and Text Mining	Contrastive Document Representation Learning with Graph Attention Networks	Peng Xu, Xinchi Chen, Xiaofei Ma, Zhiheng Huang and Bing Xiang	Accept-Findings
Information Retrieval and Text Mining	{HOTTER}: {H}ierarchical Optimal Topic Transport with Explanatory Context Representations	Sabine Wehnert, Christian Scheel, Simona Szakács-Behling, Maret Nieländer, Patrick Mielke and Ernesto William De Luca	Accept-Findings
Information Retrieval and Text Mining	Monitoring geometrical properties of word embeddings for detecting the emergence of new topics.	Clément Christophe, Julien Velcin, Jairo Cugliari, Manel Boumghar and Philippe Suignard	Accept-Oral
Information Retrieval and Text Mining	Contextualized Query Embeddings for Conversational Search	Sheng-Chieh Lin, Jheng-Hong Yang and Jimmy Lin	Accept-Oral
Information Retrieval and Text Mining	Ultra-High Dimensional Sparse Representations with Binarization for Efficient Text Retrieval	Kyoung-Rok Jang, Junmo Kang, Giwon Hong, Sung-Hyon Myaeng, Joohee Park, Taewon Yoon and Heecheol Seo	Accept-Oral
Information Retrieval and Text Mining	{IR} like a {SIR}: {S}ense-enhanced {I}nformation {R}etrieval for {M}ultiple {L}anguages	Rexhina Blloshmi, Tommaso Pasini, Niccolò Campolungo, Somnath Banerjee, Roberto Navigli and Gabriella Pasi	Accept-Oral
Information Retrieval and Text Mining	Neural Attention-Aware Hierarchical Topic Model	Yuan Jin, He Zhao, Ming Liu, Lan du and Wray Buntine	Accept-Oral
Information Retrieval and Text Mining	Matching-oriented Embedding Quantization For Ad-hoc Retrieval	Shitao Xiao, Zheng Liu, Yingxia Shao, Defu Lian and Xing Xie	Accept-Poster
Information Retrieval and Text Mining	Efficient Mind-Map Generation via Sequence-to-Graph and Reinforced Graph Refinement	Mengting Hu, Honglei Guo, Shiwan Zhao, Hang Gao and Zhong Su	Accept-Poster
Information Retrieval and Text Mining	Less is More: Pretrain a Strong Siamese Encoder for Dense Text Retrieval Using a Weak Decoder	Shuqi Lu, Di He, Chenyan Xiong, Guolin Ke, Waleed Malik, Zhicheng Dou, Paul Bennett, Tie-Yan Liu and Arnold Overwijk	Accept-Poster
Information Retrieval and Text Mining	TransPrompt: Towards an Automatic Transferable Prompting Framework for Few-shot Text Classification	Chengyu Wang, Jianing Wang, Minghui Qiu, Jun Huang and Ming Gao	Accept-Poster
Information Retrieval and Text Mining	Weakly-supervised Text Classification Based on Keyword Graph	Lu Zhang, Jiandong Ding, Yi Xu, Yingyao Liu and Shuigeng Zhou	Accept-Poster
Information Retrieval and Text Mining	Coarse2Fine: Fine-grained Text Classification on Coarsely-grained Annotated Data	Dheeraj Mekala, Varun Gangal and Jingbo Shang	Accept-Poster
Information Retrieval and Text Mining	RocketQAv2: A Joint Training Method for Dense Passage Retrieval and Passage Re-ranking	Ruiyang Ren, Yingqi Qu, Jing Liu, Wayne Xin Zhao, QiaoQiao She, Hua Wu, Haifeng Wang and Ji-Rong Wen	Accept-Poster
Information Retrieval and Text Mining	Dealing with Typos for BERT-based Passage Retrieval and Ranking	Shengyao Zhuang and Guido Zuccon	Accept-Poster
Information Retrieval and Text Mining	Deep Attention Diffusion Graph Neural Networks for Text Classification	Yonghao Liu, Renchu Guan, Fausto Giunchiglia, Yanchun Liang and Xiaoyue Feng	Accept-Poster
Information Retrieval and Text Mining	From Alignment to Assignment: Frustratingly Simple Unsupervised Entity Alignment	Xin Mao, Wenting Wang, Yuanbin Wu and Man Lan	Accept-Poster
Information Retrieval and Text Mining	Balancing Methods for Multi-label Text Classification with Long-Tailed Class Distribution	Yi Huang, Buse Giledereli, Abdullatif Köksal, Arzucan Özgür and Elif Ozkirimli	Accept-Poster
Information Retrieval and Text Mining	Simple and Effective Unsupervised Redundancy Elimination to Compress Dense Vectors for Passage Retrieval	Xueguang Ma, Minghan Li, Kai Sun, Ji Xin and Jimmy Lin	Accept-Poster
Information Retrieval and Text Mining	Multi-Vector Attention Models for Deep Re-ranking	Giulio Zhou and Jacob Devlin	Accept-Poster
Information Retrieval and Text Mining	{T}ext2{M}ol: Cross-Modal Molecule Retrieval with Natural Language Queries	Carl Edwards, ChengXiang Zhai and Heng Ji	Accept-Poster
Information Retrieval and Text Mining	Relation Extraction with Word Graphs from N-grams	Han Qin, Yuanhe Tian and Yan Song	Accept-Poster
Information Retrieval and Text Mining	Efficient-FedRec: Efficient Federated Learning Framework for Privacy-Preserving News Recommendation	Jingwei Yi, Fangzhao Wu, Chuhan Wu, Ruixuan Liu, Guangzhong Sun and Xing Xie	Accept-Poster
Interpretability and Analysis of Models for NLP	Attention Weights in Transformer NMT Fail Aligning Words Between Sequences but Largely Explain Model Predictions	Javier Ferrando and Marta R. Costa-jussà	Accept-Findings
Interpretability and Analysis of Models for NLP	Rethinking Why Intermediate-Task Fine-Tuning Works	Ting-Yun Chang and Chi-Jen Lu	Accept-Findings
Interpretability and Analysis of Models for NLP	Probing Across Time: What Does RoBERTa Know and When?	Zeyu Liu, Yizhong Wang, Jungo Kasai, Hannaneh Hajishirzi and Noah A. Smith	Accept-Findings
Interpretability and Analysis of Models for NLP	Task-adaptive Pre-training and Self-training are Complementary for Natural Language Understanding	Shiyang Li, Semih Yavuz, Wenhu Chen and Xifeng Yan	Accept-Findings
Interpretability and Analysis of Models for NLP	Is BERT a Cross-Disciplinary Knowledge Learner? A Surprising Finding of Pre-trained Models' Transferability	Wei-Tsung Kao and Hung-yi Lee	Accept-Findings
Interpretability and Analysis of Models for NLP	Investigating Numeracy Learning Ability of a Text-to-Text Transfer Model	Kuntal Kumar Pal and Chitta Baral	Accept-Findings
Interpretability and Analysis of Models for NLP	Generating Realistic Natural Language Counterfactuals	Marcel Robeer, Floris Bex and Ad Feelders	Accept-Findings
Interpretability and Analysis of Models for NLP	Mitigating Data Poisoning in Text Classification with Differential Privacy	Chang Xu, Jun Wang, Francisco Guzmán, Benjamin Rubinstein and Trevor Cohn	Accept-Findings
Interpretability and Analysis of Models for NLP	Does Vision-and-Language Pretraining Improve Lexical Grounding?	Tian Yun, Chen Sun and Ellie Pavlick	Accept-Findings
Interpretability and Analysis of Models for NLP	A multilabel approach to morphosyntactic probing	Naomi Shapiro, Amandalynne Paullada and Shane Steinert-Threlkeld	Accept-Findings
Interpretability and Analysis of Models for NLP	Don't Discard All the Biased Instances: Investigating a Core Assumption in Dataset Bias Mitigation Techniques	Hossein Amirkhani and Mohammad Taher Pilehvar	Accept-Findings
Interpretability and Analysis of Models for NLP	Sociolectal Analysis of Pretrained Language Models	Sheng Zhang, Xin Zhang, Weiming Zhang and Anders Søgaard	Accept-Oral
Interpretability and Analysis of Models for NLP	{M}easuring Association Between Labels and Free-Text Rationales	Sarah Wiegreffe, Ana Marasović and Noah A. Smith	Accept-Oral
Interpretability and Analysis of Models for NLP	Multi-granularity Textual Adversarial Attack with Behavior Cloning	Yangyi Chen, Jin Su and Wei Wei	Accept-Oral
Interpretability and Analysis of Models for NLP	Discretized Integrated Gradients for Explaining Language Models	Soumya Sanyal and Xiang Ren	Accept-Oral
Interpretability and Analysis of Models for NLP	Examining Cross-lingual Contextual Embeddings with Orthogonal Structural Probes	Tomasz Limisiewicz and David Mareček	Accept-Oral
Interpretability and Analysis of Models for NLP	Disentangling Representations of Text by Masking Transformers	Xiongyi Zhang, Jan-Willem van de Meent and Byron Wallace	Accept-Oral
Interpretability and Analysis of Models for NLP	Putting Words in BERT's Mouth: Navigating Contextualized Vector Spaces with Pseudowords	Taelin Karidi, Yichu Zhou, Nathan Schneider, Omri Abend and Vivek Srikumar	Accept-Oral
Interpretability and Analysis of Models for NLP	The Impact of Positional Encodings on Multilingual Compression	Vinit Ravishankar and Anders Søgaard	Accept-Oral
Interpretability and Analysis of Models for NLP	Rationales for Sequential Predictions	Keyon Vafa, Yuntian Deng, David Blei and Alexander Rush	Accept-Oral
Interpretability and Analysis of Models for NLP	All Bark and No Bite: Rogue Dimensions in Transformer Language Models Obscure Representational Quality	William Timkey and Marten van Schijndel	Accept-Oral
Interpretability and Analysis of Models for NLP	Exploring the Role of BERT Token Representations to Explain Sentence Probing Results	Hosein Mohebbi, Ali Modarressi and Mohammad Taher Pilehvar	Accept-Oral
Interpretability and Analysis of Models for NLP	Are {T}ransformers a Modern Version of {ELIZA}? {O}bservations on {F}rench Object Verb Agreement	Bingzhi Li, Guillaume Wisniewski and Benoit Crabbé	Accept-Oral
Interpretability and Analysis of Models for NLP	Do Long-Range Language Models Actually Use Long-Range Context?	Simeng Sun, Kalpesh Krishna, Andrew Mattarella-Micke and Mohit Iyyer	Accept-Oral
Interpretability and Analysis of Models for NLP	{T}he {W}orld of an {O}ctopus: {H}ow {R}eporting {B}ias {I}nfluences a {L}anguage {M}odel's {P}erception of {C}olor	Cory Paik, Stéphane Aroca-Ouellette, Alessandro Roncone and Katharina Kann	Accept-Oral
Interpretability and Analysis of Models for NLP	Studying word order through iterative shuffling	Nikolay Malkin, Sameera Lanka, Pranav Goel and Nebojsa Jojic	Accept-Oral
Interpretability and Analysis of Models for NLP	{I}ncorporating {R}esidual and {N}ormalization {L}ayers into {A}nalysis of {M}asked {L}anguage {M}odels	Goro Kobayashi, Tatsuki Kuribayashi, Sho Yokoi and Kentaro Inui	Accept-Oral
Interpretability and Analysis of Models for NLP	Mind the Style of Text! Adversarial and Backdoor Attacks Based on Text Style Transfer	Fanchao Qi, Yangyi Chen, Xurui Zhang, Mukai Li, Zhiyuan Liu and Maosong Sun	Accept-Oral
Interpretability and Analysis of Models for NLP	Toward Deconfounding the Effect of Entity Demographics for Question Answering Accuracy	Maharshi Gor, Kellie Webster and Jordan Boyd-Graber	Accept-Poster
Interpretability and Analysis of Models for NLP	Exploring Strategies for Generalizable Commonsense Reasoning with Pre-trained Models	Kaixin Ma, Filip Ilievski, Jonathan Francis, Satoru Ozaki, Eric Nyberg and Alessandro Oltramari	Accept-Poster
Interpretability and Analysis of Models for NLP	Bayesian Topic Regression for Causal Inference	Maximilian Ahrens, Julian Ashwin, Jan-Peter Calliess and Vu Nguyen	Accept-Poster
Interpretability and Analysis of Models for NLP	Enjoy the Salience: Towards Better Transformer-based Faithful Explanations with Word Salience	George Chrysostomou and Nikolaos Aletras	Accept-Poster
Interpretability and Analysis of Models for NLP	When differential privacy meets NLP: The devil is in the detail	Ivan Habernal	Accept-Poster
Interpretability and Analysis of Models for NLP	A Bayesian Framework for Information-Theoretic Probing	Tiago Pimentel and Ryan Cotterell	Accept-Poster
Interpretability and Analysis of Models for NLP	Masked Language Modeling and the Distributional Hypothesis: Order Word Matters Pre-training for Little	Koustuv Sinha, Robin Jia, Dieuwke Hupkes, Joelle Pineau, Adina Williams and Douwe Kiela	Accept-Poster
Interpretability and Analysis of Models for NLP	Achieving Model Robustness through Discrete Adversarial Training	Maor Ivgi and Jonathan Berant	Accept-Poster
Interpretability and Analysis of Models for NLP	Transformer Feed-Forward Layers Are Key-Value Memories	Mor Geva, Roei Schuster, Jonathan Berant and Omer Levy	Accept-Poster
Interpretability and Analysis of Models for NLP	{W}hat's in Your Head? {E}mergent Behaviour in Multi-Task Transformer Models	Mor Geva, Uri Katz, Aviv Ben-Arie and Jonathan Berant	Accept-Poster
Interpretability and Analysis of Models for NLP	Debiasing Methods in Natural Language Understanding Make Bias More Accessible	Michael Mendelson and Yonatan Belinkov	Accept-Poster
Interpretability and Analysis of Models for NLP	Connecting Attributions and QA Model Behavior on Realistic Counterfactuals	Xi Ye, Rohan Nair and Greg Durrett	Accept-Poster
Interpretability and Analysis of Models for NLP	What’s Hidden in a One-layer Randomly Weighted Transformer?	Sheng Shen, Zhewei Yao, Douwe Kiela, Kurt Keutzer and Michael Mahoney	Accept-Poster
Interpretability and Analysis of Models for NLP	Evaluating the Robustness of Neural Language Models to Input Perturbations	Milad Moradi and Matthias Samwald	Accept-Poster
Interpretability and Analysis of Models for NLP	How much pretraining data do language models need to learn syntax?	Laura Pérez-Mayos, Miguel Ballesteros and Leo Wanner	Accept-Poster
Interpretability and Analysis of Models for NLP	Don't Search for a Search Method --- Simple Heuristics Suffice for Adversarial Text Attacks	Nathaniel Berger, Stefan Riezler, Sebastian Ebert and Artem Sokolov	Accept-Poster
Interpretability and Analysis of Models for NLP	Adversarial Attacks on Knowledge Graph Embeddings via Instance Attribution Methods	Peru Bhardwaj, John Kelleher, Luca Costabello and Declan O'Sullivan	Accept-Poster
Interpretability and Analysis of Models for NLP	Sorting through the noise: Testing robustness of information processing in pre-trained language models	Lalchand Pandia and Allyson Ettinger	Accept-Poster
Interpretability and Analysis of Models for NLP	Locke's Holiday: Belief Bias in Machine Reading	Anders Søgaard	Accept-Poster
Interpretability and Analysis of Models for NLP	Sequence Length is a Domain: Length-based Overfitting in Transformer Models	Dusan Varis and Ondřej Bojar	Accept-Poster
Interpretability and Analysis of Models for NLP	Contrastive Explanations for Model Interpretability	Alon Jacovi, Swabha Swayamdipta, Shauli Ravfogel, Yanai Elazar, Yejin Choi and Yoav Goldberg	Accept-Poster
Interpretability and Analysis of Models for NLP	How Do Neural Sequence Models Generalize? Local and Global Cues for Out-of-Distribution Prediction	D. Anthony Bau and Jacob Andreas	Accept-Poster
Interpretability and Analysis of Models for NLP	Comparing Text Representations: {A} Theory-Driven Approach	Gregory Yauney and David Mimno	Accept-Poster
Interpretability and Analysis of Models for NLP	Human Rationales as Attribution Priors for Explainable Stance Detection	Sahil Jayaram and Emily Allaway	Accept-Poster
Interpretability and Analysis of Models for NLP	The Stem Cell Hypothesis: Dilemma behind Multi-Task Learning with Transformer Encoders	Han He and Jinho D. Choi	Accept-Poster
Interpretability and Analysis of Models for NLP	Rethinking Denoised Auto-Encoding in Language Pre-Training	Fuli Luo, Pengcheng Yang, Shicheng Li, Xuancheng Ren, Xu Sun, Songfang Huang and Fei Huang	Accept-Poster
Interpretability and Analysis of Models for NLP	Text Counterfactuals via Latent Optimization and {S}hapley-Guided Search	Xiaoli Fern and Quintin Pope	Accept-Poster
Interpretability and Analysis of Models for NLP	“Average” Approximates “First Principal Component”? An Empirical Analysis on Representations from Neural Language Models	Zihan Wang, Chengyu Dong and Jingbo Shang	Accept-Poster
Interpretability and Analysis of Models for NLP	Lifelong Explainer for Lifelong Learners	Xuelin Situ, Sameen Maruf, Ingrid Zukerman, Cecile Paris and Gholamreza Haffari	Accept-Poster
Interpretability and Analysis of Models for NLP	On the Transferability of Adversarial Attacks against Neural Text Classifier	Liping Yuan, Xiaoqing Zheng, Yi Zhou, Cho-Jui Hsieh and Kai-Wei Chang	Accept-Poster
Interpretability and Analysis of Models for NLP	Conditional probing: measuring usable information beyond a baseline	John Hewitt, Kawin Ethayarajh, Percy Liang and Christopher Manning	Accept-Poster
Interpretability and Analysis of Models for NLP	Contrasting Human- and Machine-Generated Word-Level Adversarial Examples for Text Classification	Maximilian Mozes, Max Bartolo, Pontus Stenetorp, Bennett Kleinberg and Lewis Griffin	Accept-Poster
Interpretability and Analysis of Models for NLP	FastIF: Scalable Influence Functions for Efficient Model Interpretation and Debugging	Han Guo, Nazneen Fatema Rajani, Peter Hase, Mohit Bansal and Caiming Xiong	Accept-Oral
Linguistic Theories, Cognitive Modeling and Psycholinguistics	Coreference-aware Surprisal Predicts Brain Response	Evan Jaffe, Byung-Doh Oh and William Schuler	Accept-Findings
Linguistic Theories, Cognitive Modeling and Psycholinguistics	Model-based analysis of brain activity reveals the hierarchy of language in 305 subjects	Charlotte Caucheteux, Alexandre Gramfort and Jean-Remi King	Accept-Findings
Linguistic Theories, Cognitive Modeling and Psycholinguistics	Character-based PCFG Induction for Modeling the Syntactic Acquisition of Morphologically Rich Languages	Lifeng Jin, Byung-Doh Oh and William Schuler	Accept-Findings
Linguistic Theories, Cognitive Modeling and Psycholinguistics	Predicting emergent linguistic compositions through time: Syntactic frame extension via multimodal chaining	Lei Yu and Yang Xu	Accept-Oral
Linguistic Theories, Cognitive Modeling and Psycholinguistics	Is Information Density Uniform in Task-Oriented Dialogues?	Mario Giulianelli, Arabella Sinclair and Raquel Fernández	Accept-Poster
Linguistic Theories, Cognitive Modeling and Psycholinguistics	An Information-Theoretic Characterization of Morphological Fusion	Neil Rathi, Michael Hahn and Richard Futrell	Accept-Poster
Linguistic Theories, Cognitive Modeling and Psycholinguistics	The Effect of Efficient Messaging and Input Variability on Neural-Agent Iterated Language Learning	Yuchen Lian, Arianna Bisazza and Tessa Verhoef	Accept-Poster
Linguistic Theories, Cognitive Modeling and Psycholinguistics	Controlled Evaluation of Grammatical Knowledge in Mandarin Chinese Language Models	Yiwen Wang, Jennifer Hu, Roger Levy and Peng Qian	Accept-Poster
Linguistic Theories, Cognitive Modeling and Psycholinguistics	Modeling Human Sentence Processing with Left-Corner Recurrent Neural Network Grammars	Ryo Yoshida, Hiroshi Noji and Yohei Oseki	Accept-Poster
Machine Learning for NLP	The Devil is in the Detail: Simple Tricks Improve Systematic Generalization of Transformers	Róbert Csordás, Kazuki Irie and Juergen Schmidhuber	Accept-Oral
Machine Learning for NLP	Cartography Active Learning	Mike Zhang and Barbara Plank	Accept-Findings
Machine Learning for NLP	Beyond Reptile: Meta-Learned Dot-Product Maximization between Gradients for Improved Single-Task Regularization	Akhil Kedia, Sai Chetan Chinthakindi and Wonho Ryu	Accept-Findings
Machine Learning for NLP	BFClass: A Backdoor-free Text Classification Framework	Zichao Li, Dheeraj Mekala, Chengyu Dong and Jingbo Shang	Accept-Findings
Machine Learning for NLP	Hyperbolic Geometry is Not Necessary: Lightweight Euclidean-Based Models for Low-Dimensional Knowledge Graph Embeddings	Kai Wang, Yu Liu, Dan Lin and Michael Sheng	Accept-Findings
Machine Learning for NLP	{FANATIC}: {FA}st {N}oise-{A}ware {T}op{I}c {C}lustering	Ari Silburt, Anja Subasic, Evan Thompson, Carmeline Dsilva and Tarec Fares	Accept-Findings
Machine Learning for NLP	Towards Improving Adversarial Training of {NLP} Models	Jin Yong Yoo and Yanjun Qi	Accept-Findings
Machine Learning for NLP	ArabicTransformer: Efficient Large Arabic Language Model with Funnel Transformer and ELECTRA Objective	Sultan Alrowili and Vijay Shanker	Accept-Findings
Machine Learning for NLP	Constructing contrastive samples via summarization for text classification with limited annotations	Yangkai Du, Tengfei Ma, Lingfei Wu, Fangli Xu, Xuhong Zhang, Bo Long and Shouling Ji	Accept-Findings
Machine Learning for NLP	Mapping Language to Programs using Multiple Reward Components with Inverse Reinforcement Learning	Sayan Ghosh and Shashank Srivastava	Accept-Findings
Machine Learning for NLP	Cross-lingual Transfer for Text Classification with Dictionary-based Heterogeneous Graph	Nuttapong Chairatanakul, Noppayut Sriwatanasakdi, Nontawat Charoenphakdee, Xin Liu and Tsuyoshi Murata	Accept-Findings
Machine Learning for NLP	Few-Shot Novel Concept Learning for Semantic Parsing	Soham Dan, Osbert Bastani and Dan Roth	Accept-Findings
Machine Learning for NLP	On the Effects of Transformer Size on In- and Out-of-Domain Calibration	Soham Dan and Dan Roth	Accept-Findings
Machine Learning for NLP	Adversarial Examples for Evaluating Math Word Problem Solvers	Vivek Kumar, Rishabh Maheshwary and Vikram Pudi	Accept-Findings
Machine Learning for NLP	Adapting Language Models for Zero-shot Learning by Meta-tuning on Dataset and Prompt Collections	Ruiqi Zhong, Kristy Lee, Zheng Zhang and Dan Klein	Accept-Findings
Machine Learning for NLP	Minimizing Annotation Effort via Max-Volume Spectral Sampling	Ariadna Quattoni and Xavier Carreras	Accept-Findings
Machine Learning for NLP	Hyperbolic Hierarchy-Aware Knowledge Graph Embedding for Link Prediction	Zhe Pan and Peng Wang	Accept-Findings
Machine Learning for NLP	RW-KD: Sample-wise Loss Terms Re-Weighting for Knowledge Distillation	Peng Lu, Abbas Ghaddar, Ahmad Rashid, Mehdi Rezagholizadeh, Ali Ghodsi and Philippe Langlais	Accept-Findings
Machine Learning for NLP	Self-Supervised Neural Topic Modeling	Seyed Ali Bahrainian, Martin Jaggi and Carsten Eickhoff	Accept-Findings
Machine Learning for NLP	mDAPT: Multilingual Domain Adaptive Pretraining in a Single Model	Rasmus Kær Jørgensen, Mareike Hartmann, Xiang Dai and Desmond Elliott	Accept-Findings
Machine Learning for NLP	ODIST: Open World Classification via Distributionally Shifted Instances	Lei Shu, Yassine Benajiba, Saab Mansour and Yi Zhang	Accept-Findings
Machine Learning for NLP	Expected Validation Performance and Estimation of a Random Variable's Maximum	Jesse Dodge, Suchin Gururangan, Dallas Card, Roy Schwartz and Noah A. Smith	Accept-Findings
Machine Learning for NLP	Reconsidering the Past: Optimizing Hidden States in Language Models	Davis Yoshida and Kevin Gimpel	Accept-Findings
Machine Learning for NLP	{ARCH}: Efficient Adversarial Regularized Training with Caching	Simiao Zuo, Chen Liang, Haoming Jiang, Pengcheng He, Xiaodong Liu, Jianfeng Gao, Weizhu Chen and Tuo Zhao	Accept-Findings
Machine Learning for NLP	Block-wise Word Embedding Compression Revisited: Better Weighting and Structuring	Jong-Ryul Lee, Yong-Ju Lee and Yong-Hyuk Moon	Accept-Findings
Machine Learning for NLP	Influence Tuning: Demoting Spurious Correlations via Instance Attribution and Instance-Driven Updates	Xiaochuang Han and Yulia Tsvetkov	Accept-Findings
Machine Learning for NLP	Active Learning for Rumor Identification on Social Media	Parsa Farinneya, Mohammad Mahdi Abdollah Pour, Sardar Hamidian and mona Diab	Accept-Findings
Machine Learning for NLP	Counterfactual Adversarial Learning with Representation Interpolation	Wei Wang, Boxin Wang, Ning Shi, Jinfeng Li, Bingyu Zhu, Xiangyu Liu and Rong Zhang	Accept-Findings
Machine Learning for NLP	Editing Factual Knowledge in Language Models	Nicola De Cao, Wilker Aziz and Ivan Titov	Accept-Oral
Machine Learning for NLP	{R}elational {W}orld {K}nowledge {R}epresentation in {C}ontextual {L}anguage {M}odels: {A} {R}eview	Tara Safavi and Danai Koutra	Accept-Oral
Machine Learning for NLP	Certified Robustness to Programmable Transformations in LSTMs	Yuhao Zhang, Aws Albarghouthi and Loris D'Antoni	Accept-Oral
Machine Learning for NLP	Knowledge-Aware Meta-learning for Low-Resource Text Classification	Huaxiu Yao, Ying-xin Wu, Maruan Al-Shedivat and Eric Xing	Accept-Oral
Machine Learning for NLP	Sparse Attention with Linear Units	Biao Zhang, Ivan Titov and Rico Sennrich	Accept-Oral
Machine Learning for NLP	Causal Direction of Data Collection Matters: Implications of Causal and Anticausal Learning for NLP	Zhijing Jin, ‪Julius von Kügelgen‬, Jingwei Ni, Tejas Vaidhya, Ayush Kaushal, Mrinmaya Sachan and Bernhard Schoelkopf	Accept-Oral
Machine Learning for NLP	Raise a Child in Large Language Model: Towards Effective and Generalizable Fine-tuning	Runxin Xu, Fuli Luo, Zhiyuan Zhang, Chuanqi Tan, Baobao Chang, Songfang Huang and Fei Huang	Accept-Oral
Machine Learning for NLP	Effects of Parameter Norm Growth During Transformer Training: Inductive Bias from Gradient Descent	William Merrill, Vivek Ramanujan, Yoav Goldberg, Roy Schwartz and Noah A. Smith	Accept-Oral
Machine Learning for NLP	Efficient Contrastive Learning via Novel Data Augmentation and Curriculum Learning	Seonghyeon Ye, Jiseon Kim and Alice Oh	Accept-Oral
Machine Learning for NLP	KnowMAN: Weakly Supervised Multinomial Adversarial Networks	Luisa März, Ehsaneddin Asgari, Fabienne Braune, Franziska Zimmermann and Benjamin Roth	Accept-Oral
Machine Learning for NLP	Knowledge Base Completion Meets Transfer Learning	Vid Kocijan and Thomas Lukasiewicz	Accept-Oral
Machine Learning for NLP	Classification of hierarchical text using geometric deep learning: the case of clinical trials corpus	Sohrab Ferdowsi, Nikolay Borissov, Julien Knafou, Poorya Amini and Douglas Teodoro	Accept-Oral
Machine Learning for NLP	Adversarial Regularization as Stackelberg Game: An Unrolled Optimization Approach	Simiao Zuo, Chen Liang, Haoming Jiang, Xiaodong Liu, Pengcheng He, Jianfeng Gao, Weizhu Chen and Tuo Zhao	Accept-Oral
Machine Learning for NLP	Foreseeing the Benefits of Incidental Supervision	Hangfeng He, Mingyuan Zhang, Qiang Ning and Dan Roth	Accept-Oral
Machine Learning for NLP	Neuralizing Regular Expressions for Slot Filling	Chengyue Jiang, Zijian Jin and Kewei Tu	Accept-Oral
Machine Learning for NLP	{R}e{G}en: {R}einforcement Learning for Text and Knowledge Base Generation using Pretrained Language Models	Pierre Dognin, Inkit Padhi, Igor Melnyk and Payel Das	Accept-Oral
Machine Learning for NLP	ONION: A Simple and Effective Defense Against Textual Backdoor Attacks	Fanchao Qi, Yangyi Chen, Mukai Li, Yuan Yao, Zhiyuan Liu and Maosong Sun	Accept-Oral
Machine Learning for NLP	Artificial Text Detection via Examining the Topology of Attention Maps	Laida Kushnareva, Daniil Cherniavskii, Vladislav Mikhailov, Ekaterina Artemova, Serguei Barannikov, Alexander Bernstein, Irina Piontkovskaya, Dmitri Piontkovski and Evgeny Burnaev	Accept-Oral
Machine Learning for NLP	SPECTRA: Sparse Structured Text Rationalization	Nuno M. Guerreiro and André F. T. Martins	Accept-Oral
Machine Learning for NLP	Active Learning by Acquiring Contrastive Examples	Katerina Margatina, Giorgos Vernikos, Loïc Barrault and Nikolaos Aletras	Accept-Oral
