Title	Link	Venue	Year	abstract	Count	marius_notes	vagrant_notes	Year	Paper?	Notes	marius_chat	vagrant_chat
The Mythos of Model Interpretability: In machine learning, the concept of interpretability is both important and slippery.	https://dl.acm.org/doi/pdf/10.1145/3236386.3241340				1			2018		we should read this too!		
The Principles of Deep Learning Theory	https://arxiv.org/pdf/2106.10165v2				1			2021	No			
The Risk of Racial Bias in Hate Speech Detection	https://aclanthology.org/P19-1163.pdf				1			2019				
Thinking Like Transformers	https://arxiv.org/pdf/2106.06981	ICML	2021	What is the computational model behind a Transformer? Where recurrent neural networks have direct parallels in finite state machines, allowing clear discussion and thought around architecture variants or trained models, Transformers have no such familiar parallel. In this paper we aim to change that, proposing a computational model for the transformer-encoder in the form of a programming language. We map the basic components of a transformer-encoder -- attention and feed-forward computation -- into simple primitives, around which we form a programming language: the Restricted Access Sequence Processing Language (RASP). We show how RASP can be used to program solutions to tasks that could conceivably be learned by a Transformer, and how a Transformer can be trained to mimic a RASP solution. In particular, we provide RASP programs for histograms, sorting, and Dyck-languages. We further use our model to relate their difficulty in terms of the number of required layers and attention heads: analyzing a RASP program implies a maximum number of heads and layers necessary to encode a task in a transformer. Finally, we see how insights gained from our abstraction might be used to explain phenomena seen in recent works.	3	computational model, transformer programs	computational model, transformer programs	2021				
Towards Automated Circuit Discovery for Mechanistic Interpretability	https://proceedings.neurips.cc/paper_files/paper/2023/file/34e1dbe95d34d7ebaf99b9bcaeb5b2be-Paper-Conference.pdf				1			2023				
Towards Faithfully Interpretable NLP Systems: How Should We Define and Evaluate Faithfulness?	https://aclanthology.org/2020.acl-main.386.pdf	ACL	2020	With the growing popularity of deep-learning based NLP models, comes a need for interpretable systems. But what is interpretability, and what constitutes a high-quality interpretation? In this opinion piece we reflect on the current state of interpretability evaluation research. We call for more clearly differentiating between different desired criteria an interpretation should satisfy, and focus on the faithfulness criteria. We survey the literature with respect to faithfulness evaluation, and arrange the current approaches around three assumptions, providing an explicit form to how faithfulness is “defined” by the community. We provide concrete guidelines on how evaluation of interpretation methods should and should not be conducted. Finally, we claim that the current binary definition for faithfulness sets a potentially unrealistic bar for being considered faithful. We call for discarding the binary notion of faithfulness in favor of a more graded one, which we believe will be of greater practical utility.	2	novel guidelines, faithfulness, explanations	novel guidelines, faithfulness, explanations	2020				
Towards Monosemanticity: Decomposing Language Models With Dictionary Learning	https://transformer-circuits.pub/2023/monosemantic-features				1			2023	No	Not a PDF		
Toy Models of Superposition	https://transformer-circuits.pub/2022/toy_model/index.html	blogpost	2022	Neural networks often pack many unrelated concepts into a single neuron - a puzzling phenomenon known as 'polysemanticity' which makes interpretability much more challenging. This paper provides a toy model where polysemanticity can be fully understood, arising as a result of models storing additional sparse features in "superposition." We demonstrate the existence of a phase change, a surprising connection to the geometry of uniform polytopes, and evidence of a link to adversarial examples. We also discuss potential implications for mechanistic interpretability.	2	neuron analysis, mechanistic interpretability, superposition, concepts	neuron analysis, mechanistic interpretability, superposition, concepts	2022	No	Not a PDF		
Transformer Circuits Thread	https://transformer-circuits.pub/				1			2021-2024	No	Not a PDF		
Transformer Feed-Forward Layers Are Key-Value Memories	https://aclanthology.org/2021.emnlp-main.446.pdf	EMNLP	2021	Feed-forward layers constitute two-thirds of a transformer model's parameters, yet their role in the network remains under-explored. We show that feed-forward layers in transformer-based language models operate as key-value memories, where each key correlates with textual patterns in the training examples, and each value induces a distribution over the output vocabulary. Our experiments show that the learned patterns are human-interpretable, and that lower layers tend to capture shallow patterns, while upper layers learn more semantic ones. The values complement the keys' input patterns by inducing output distributions that concentrate probability mass on tokens likely to appear immediately after each pattern, particularly in the upper layers. Finally, we demonstrate that the output of a feed-forward layer is a composition of its memories, which is subsequently refined throughout the model's layers via residual connections to produce the final output distribution.	11	FFN analysis, novel metaphor, representational analysis, MLP analysis, key-value memories	FFN analysis, novel metaphor, representational analysis, MLP analysis, key-value memories	2021				
Transformer Feed-Forward Layers Build Predictions by Promoting Concepts in the Vocabulary Space	https://aclanthology.org/2022.emnlp-main.3.pdf				1			2022				
Transformers Learn In-Context by Gradient Descent	https://proceedings.mlr.press/v202/von-oswald23a/von-oswald23a.pdf				1			2023				
Transformers Learn Shortcuts to Automata	https://openreview.net/pdf?id=De4FYqjFueZ				1			2023				
Understanding Black-box Predictions via Influence Functions	https://arxiv.org/pdf/1703.04730v3	ICML	2017	How can we explain the predictions of a black-box model? In this paper, we use influence functions -- a classic technique from robust statistics -- to trace a model's prediction through the learning algorithm and back to its training data, thereby identifying training points most responsible for a given prediction. To scale up influence functions to modern machine learning settings, we develop a simple, efficient implementation that requires only oracle access to gradients and Hessian-vector products. We show that even on non-convex and non-differentiable models where the theory breaks down, approximations to influence functions can still provide valuable information. On linear models and convolutional neural networks, we demonstrate that influence functions are useful for multiple purposes: understanding model behavior, debugging models, detecting dataset errors, and even creating visually-indistinguishable training-set attacks.	2	influence functions, explainability, attribution	influence functions, explainability, attribution	2017				
Understanding Contrastive Representation Learning through Alignment and Uniformity on the Hypersphere	http://proceedings.mlr.press/v119/wang20k/wang20k.pdf				1			2020				
Understanding the difficulty of training deep feedforward neural networks	https://proceedings.mlr.press/v9/glorot10a/glorot10a.pdf				1			2010				
Universal Adversarial Triggers for Attacking and Analyzing NLP	https://aclanthology.org/D19-1221.pdf				1			2019				
What Are You Token About? Dense Retrieval as Distributions Over the Vocabulary	https://aclanthology.org/2023.acl-long.140.pdf				1			2023				
What do you learn from context? Probing for sentence structure in contextualized word representations	https://openreview.net/pdf?id=SJzSgnRcKX	ICLR	2019	Contextualized representation models such as ELMo (Peters et al., 2018a) and BERT (Devlin et al., 2018) have recently achieved state-of-the-art results on a diverse array of downstream NLP tasks. Building on recent token-level probing work, we introduce a novel edge probing task design and construct a broad suite of sub-sentence tasks derived from the traditional structured NLP pipeline. We probe word-level contextual representations from four recent models and investigate how they encode sentence structure across a range of syntactic, semantic, local, and long-range phenomena. We find that existing models trained on language modeling and translation produce strong representations for syntactic phenomena, but only offer comparably small improvements on semantic tasks over a non-contextual baseline.	2	probing, linguistics, representation analysis	probing, linguistics, representation analysis	2019				
What Does BERT Learn about the Structure of Language?	https://aclanthology.org/P19-1356.pdf				1			2019				
What Does BERT Look at? An Analysis of BERT’s Attention	https://aclanthology.org/W19-4828.pdf	BlackBoxNLP	2019	Large pre-trained neural networks such as BERT have had great recent success in NLP, motivating a growing body of research investigating what aspects of language they are able to learn from unlabeled data. Most recent analysis has focused on model outputs (e.g., language model surprisal) or internal vector representations (e.g., probing classifiers). Complementary to these works, we propose methods for analyzing the attention mechanisms of pre-trained models and apply them to BERT. BERT's attention heads exhibit patterns such as attending to delimiter tokens, specific positional offsets, or broadly attending over the whole sentence, with heads in the same layer often exhibiting similar behaviors. We further show that certain attention heads correspond well to linguistic notions of syntax and coreference. For example, we find heads that attend to the direct objects of verbs, determiners of nouns, objects of prepositions, and coreferent mentions with remarkably high accuracy. Lastly, we propose an attention-based probing classifier and use it to further demonstrate that substantial syntactic information is captured in BERT's attention.	3	attention analysis, linguistics, probing, representation analysis	attention analysis, linguistics, probing, representation analysis	2019				
What Formal Languages Can Transformers Express? A Survey	https://arxiv.org/pdf/2311.00208				1			2024				
What you can cram into a single $&!#* vector: Probing sentence embeddings for linguistic properties	https://aclanthology.org/P18-1198.pdf				1			2018				
Why Does Unsupervised Pre-training Help Deep Learning?	https://dl.acm.org/doi/pdf/10.5555/1756006.1756025				1			2010				
Zoom In: An Introduction to Circuits	https://distill.pub/2020/circuits/zoom-in/				1			2020	No	Not a PDF		
