	id	title	area	source	year	doi	abstract	semantic_scholar_id	track	citation_count	marius_themes	vagrant_themes
3181	164	Transformer Feed-Forward Layers Build Predictions by Promoting Concepts in the Vocabulary Space	Interpretability, Interactivity and Analysis of Models for NLP	EMNLP	2022	10.18653/v1/2022.emnlp-main.3	Transformer-based language models (LMs) are at the core of modern NLP, but their internal prediction construction process is opaque and largely not understood. In this work, we make a substantial step towards unveiling this underlying prediction process, by reverse-engineering the operation of the feed-forward network (FFN) layers, one of the building blocks of transformer models. We view the token representation as a changing distribution over the vocabulary, and the output from each FFN layer as an additive update to that distribution. Then, we analyze the FFN updates in the vocabulary space, showing that each update can be decomposed to sub-updates corresponding to single FFN parameter vectors, each promoting concepts that are often human-interpretable. We then leverage these findings for controlling LM predictions, where we reduce the toxicity of GPT2 by almost 50%, and for improving computation efficiency with a simple early exit rule, saving 20% of computation on average.	cf36236015c9f93f15bfafbf282f69e08bdc9c16	Interpretability and Analysis	160	novel metaphor, concepts, FFN analysis, analysis, predictions, interpretability, vocabulary projection, reverse engineering	novel metaphor, concepts, FFN analysis, analysis, predictions, interpretability, vocabulary projection, reverse engineering
1548	main.383	Perturbed Masking: Parameter-free Probing for Analyzing and Interpreting BERT	Interpretability and Analysis of Models for NLP	ACL	2020	10.18653/v1/2020.acl-main.383	By introducing a small set of additional parameters, a probe learns to solve specific linguistic tasks (e.g., dependency parsing) in a supervised manner using feature representations (e.g., contextualized embeddings). The effectiveness of such probing tasks is taken as evidence that the pre-trained model encodes linguistic knowledge. However, this approach of evaluating a language model is undermined by the uncertainty of the amount of knowledge that is learned by the probe itself. Complementary to those works, we propose a parameter-free probing technique for analyzing pre-trained language models (e.g., BERT). Our method does not require direct supervision from the probing tasks, nor do we introduce additional parameters to the probing process. Our experiments on BERT show that syntactic trees recovered from BERT using our method are significantly better than linguistically-uninformed baselines. We further feed the empirically induced dependency structures into a downstream sentiment classification task and find its improvement compatible with or even superior to a human-designed dependency schema.	3aaa8aaad5ef36550a6b47d6ee000f0b346a5a1f	Interpretability and Analysis	154	probing, novel method, linguistics, parameter-free method, sentiment	probing, novel method, linguistics, parameter-free method, sentiment
1049	main.489	A Re-evaluation of Knowledge Graph Completion Methods	Interpretability and Analysis of Models for NLP	ACL	2020	10.18653/v1/2020.acl-main.489	Knowledge Graph Completion (KGC) aims at automatically predicting missing links for large-scale knowledge graphs. A vast number of state-of-the-art KGC techniques have got published at top conferences in several research fields, including data mining, machine learning, and natural language processing. However, we notice that several recent papers report very high performance, which largely outperforms previous state-of-the-art methods. In this paper, we find that this can be attributed to the inappropriate evaluation protocol used by them and propose a simple evaluation protocol to address this problem. The proposed protocol is robust to handle bias in the model, which can substantially affect the final results. We conduct extensive experiments and report performance of several existing methods using our protocol. The reproducible code has been made publicly available.	1fb3fa2a6a8c0d7a58b1d5dee8b676104d1a5da6	Interpretability and Analysis	142	knowledge graph, evaluation analysis, knowledge graph completion, novel metric	knowledge graph, evaluation analysis, knowledge graph completion, novel metric
1498	main.431	Interpreting Pretrained Contextualized Representations via Reductions to Static Embeddings	Interpretability and Analysis of Models for NLP	ACL	2020	10.18653/v1/2020.acl-main.431	Contextualized representations (e.g. ELMo, BERT) have become the default pretrained representations for downstream NLP applications. In some settings, this transition has rendered their static embedding predecessors (e.g. Word2Vec, GloVe) obsolete. As a side-effect, we observe that older interpretability methods for static embeddings --- while more diverse and mature than those available for their dynamic counterparts --- are underutilized in studying newer contextualized representations. Consequently, we introduce simple and fully general methods for converting from contextualized representations to static lookup-table embeddings which we apply to 5 popular pretrained models and 9 sets of pretrained weights. Our analysis of the resulting static embeddings notably reveals that pooling over many contexts significantly improves representational quality under intrinsic evaluation. Complementary to analyzing representational quality, we consider social biases encoded in pretrained representations with respect to gender, race/ethnicity, and religion and find that bias is encoded disparately across pretrained models and internal layers even for models with the same training data. Concerningly, we find dramatic inconsistencies between social bias estimators for word embeddings.	d34580c522c79d5cde620331dd9ffb18643a8090	Interpretability and Analysis	140	interpretability, representation analysis, novel method, evaluation, social bias, bias detection, contextualized representations, static embeddings	interpretability, representation analysis, novel method, evaluation, social bias, bias detection, contextualized representations, static embeddings
1333	main.492	Explaining Black Box Predictions and Unveiling Data Artifacts through Influence Functions	Interpretability and Analysis of Models for NLP	ACL	2020	10.18653/v1/2020.acl-main.492	Modern deep learning models for NLP are notoriously opaque. This has motivated the development of methods for interpreting such models, e.g., via gradient-based saliency maps or the visualization of attention weights. Such approaches aim to provide explanations for a particular model prediction by highlighting important words in the corresponding input text. While this might be useful for tasks where decisions are explicitly influenced by individual tokens in the input, we suspect that such highlighting is not suitable for tasks where model decisions should be driven by more complex reasoning. In this work, we investigate the use of influence functions for NLP, providing an alternative approach to interpreting neural text classifiers. Influence functions explain the decisions of a model by identifying influential training examples. Despite the promise of this approach, influence functions have not yet been extensively evaluated in the context of NLP, a gap addressed by this work. We conduct a comparison between influence functions and common word-saliency methods on representative tasks. As suspected, we find that influence functions are particularly useful for natural language inference, a task in which `saliency maps' may not have clear interpretation. Furthermore, we develop a new quantitative measure based on influence functions that can reveal artifacts in training data.	0696ad8beb0d765973aa5cdbc6e118889d3583b0	Interpretability and Analysis	139	explainability, influence functions, interpretability, methods evaluation, NLI, novel method	explainability, influence functions, interpretability, methods evaluation, NLI, novel method
1398	main.409	Learning to Faithfully Rationalize by Construction	Interpretability and Analysis of Models for NLP	ACL	2020	10.18653/v1/2020.acl-main.409	In many settings it is important for one to be able to understand why a model made a particular prediction. In NLP this often entails extracting snippets of an input text 'responsible for' corresponding model output; when such a snippet comprises tokens that indeed informed the model's prediction, it is a faithful explanation. In some settings, faithfulness may be critical to ensure transparency. Lei et al. (2016) proposed a model to produce faithful rationales for neural text classification by defining independent snippet extraction and prediction modules. However, the discrete selection over input tokens performed by this method complicates training, leading to high variance and requiring careful hyperparameter tuning. We propose a simpler variant of this approach that provides faithful explanations by construction. In our scheme, named FRESH, arbitrary feature importance scores (e.g., gradients from a trained model) are used to induce binary labels over token inputs, which an extractor can be trained to predict. An independent classifier module is then trained exclusively on snippets provided by the extractor; these snippets thus constitute faithful explanations, even if the classifier is arbitrarily complex. In both automatic and manual evaluations we find that variants of this simple framework yield predictive performance superior to 'end-to-end' approaches, while being more general and easier to train. Code is available at https://github.com/successar/FRESH.	922e6e3bafe38a712597c05d3a907bd10763b427	Interpretability and Analysis	138	explainabaility, interpretability, faithfulness, novel method, rationales	explainabaility, interpretability, faithfulness, novel method, rationales
2480		Hidden Killer: Invisible Textual Backdoor Attacks with Syntactic Trigger	Interpretability and Analysis of Models for NLP	ACL	2021	10.18653/v1/2021.acl-long.37	Backdoor attacks are a kind of insidious security threat against machine learning models. After being injected with a backdoor in training, the victim model will produce adversary-specified outputs on the inputs embedded with predesigned triggers but behave properly on normal inputs during inference. As a sort of emergent attack, backdoor attacks in natural language processing (NLP) are investigated insufficiently. As far as we know, almost all existing textual backdoor attack methods insert additional contents into normal samples as triggers, which causes the trigger-embedded samples to be detected and the backdoor attacks to be blocked without much effort. In this paper, we propose to use the syntactic structure as the trigger in textual backdoor attacks. We conduct extensive experiments to demonstrate that the syntactic trigger-based attack method can achieve comparable attack performance (almost 100% success rate) to the insertion-based methods but possesses much higher invisibility and stronger resistance to defenses. These results also reveal the significant insidiousness and harmfulness of textual backdoor attacks. All the code and data of this paper can be obtained at https://github.com/thunlp/HiddenKiller.	ac6d17a1e4345b6699965fca636590edb91f10a8	Interpretability and Analysis	137	adversarial evaluation, backdoor attacks, evaluation, novel method, evaluation	adversarial evaluation, backdoor attacks, evaluation, novel method, evaluation
524	main.3304	Birds have four legs?! NumerSense: Probing Numerical Commonsense Knowledge of Pre-Trained Language Models	Interpretability and Analysis of Models for NLP	EMNLP	2020	10.18653/v1/2020.emnlp-main.557	Recent works show that pre-trained language models (PTLMs), such as BERT, possess certain commonsense and factual knowledge. They suggest that it is promising to use PTLMs as ``neural knowledge bases'' via predicting masked words. Surprisingly, we find that this may not work for numerical commonsense knowledge (e.g., a bird usually has two legs). In this paper, we investigate whether and to what extent we can induce numerical commonsense knowledge from PTLMs as well as the robustness of this process. In this paper, we investigate whether and to what extent we can induce numerical commonsense knowledge from PTLMs as well as the robustness of this process. To study this, we introduce a novel probing task with a diagnostic dataset, NumerSense, containing 13.6k masked-word-prediction probes (10.5k for fine-tuning and 3.1k for testing). Our analysis reveals that: (1) BERT and its stronger variant RoBERTa perform poorly on the diagnostic dataset prior to any fine-tuning; (2) fine-tuning with distant supervision brings some improvement; (3) the best supervised model still performs poorly as compared to human performance (54.06% vs. 96.3% in accuracy).	016760dc4a05489ddf5dbb48aecbb49e214e1b71	Interpretability and Analysis	135	probing, commonsense knowledge, numerical knowledge, novel dataset, analysis	probing, commonsense knowledge, numerical knowledge, novel dataset, analysis
3982	4535	Efficient Large Scale Language Modeling with Mixtures of Experts	Language Modeling and Analysis of Language Models	EMNLP	2022	10.18653/v1/2022.emnlp-main.804	Mixture of Experts layers (MoEs) enable efficient scaling of language models through conditional computation. This paper presents a detailed empirical study of how autoregressive MoE language models scale in comparison with dense models in a wide range of settings: in- and out-of-domain language modeling, zero- and few-shot priming, and full-shot fine-tuning. With the exception of fine-tuning, we find MoEs to be substantially more compute efficient. At more modest training budgets, MoEs can match the performance of dense models using $\sim$4 times less compute. This gap narrows at scale, but our largest MoE model (1.1T parameters) consistently outperforms a compute-equivalent dense model (6.7B parameters). Overall, this performance gap varies greatly across tasks and domains, suggesting that MoE and dense models generalize differently in ways that are worthy of future study. We make our code and models publicly available for research use.	fb01415a0decfa3f3d6339930e95028ae1ff4170	Interpretability and Analysis	133	mixture of experts, evaluation, scaling	mixture of experts, evaluation, scaling
1298	main.493	Finding Universal Grammatical Relations in Multilingual BERT	Interpretability and Analysis of Models for NLP	ACL	2020	10.18653/v1/2020.acl-main.493	Recent work has found evidence that Multilingual BERT (mBERT), a transformer-based multilingual masked language model, is capable of zero-shot cross-lingual transfer, suggesting that some aspects of its representations are shared cross-lingually. To better understand this overlap, we extend recent work on finding syntactic trees in neural networks' internal representations to the multilingual setting. We show that subspaces of mBERT representations recover syntactic tree distances in languages other than English, and that these subspaces are approximately shared across languages. Motivated by these results, we present an unsupervised analysis method that provides evidence mBERT learns representations of syntactic dependency labels, in the form of clusters which largely agree with the Universal Dependencies taxonomy. This evidence suggests that even without explicit supervision, multilingual masked language models learn certain linguistic universals.	1376a8e1b06b7a7b7cacd45f52268e427c3b0135	Interpretability and Analysis	130	linguistics, multilingual, cross-lingual transfer, representation analysis, understanding, analysis, novel method	linguistics, multilingual, cross-lingual transfer, representation analysis, understanding, analysis, novel method
1871		Measuring Association Between Labels and Free-Text Rationales	Interpretability and Analysis of Models for NLP	EMNLP	2021		In interpretable NLP, we require faithful rationales that reflect the model’s decision-making process for an explained instance. While prior work focuses on extractive rationales (a subset of the input words), we investigate their less-studied counterpart: free-text natural language rationales. We demonstrate that *pipelines*, models for faithful rationalization on information-extraction style tasks, do not work as well on “reasoning” tasks requiring free-text rationales. We turn to models that *jointly* predict and rationalize, a class of widely used high-performance models for free-text rationalization. We investigate the extent to which the labels and rationales predicted by these models are associated, a necessary property of faithful explanation. Via two tests, *robustness equivalence* and *feature importance agreement*, we find that state-of-the-art T5-based joint models exhibit desirable properties for explaining commonsense question-answering and natural language inference, indicating their potential for producing faithful free-text rationales.	343e06bae852f74a98573e798b501f6003bcb1c0	Interpretability and Analysis	130	rationales, faithfulness, interpretability, explanations, free-text rationales, generation, explainability	rationales, faithfulness, interpretability, explanations, free-text rationales, generation, explainability
3979	4515	ZeroGen: Efficient Zero-shot Learning via Dataset Generation	Language Modeling and Analysis of Language Models	EMNLP	2022	10.18653/v1/2022.emnlp-main.801	There is a growing interest in dataset generation recently due to the superior generative capacity of large pre-trained language models (PLMs). In this paper, we study a flexible and efficient zero-short learning method, ZeroGen.Given a zero-shot task, we first generate a dataset from scratch using PLMs in an unsupervised manner. Then, we train a tiny task model (e.g., LSTM) under the supervision of the synthesized dataset. This approach allows highly efficient inference as the final task model only has orders of magnitude fewer parameters comparing to PLMs (e.g., GPT2-XL).Apart from being annotation-free and efficient, we argue that ZeroGen can also provide useful insights from the perspective of data-free model-agnostic knowledge distillation, and unreferenced text generation evaluation. Experiments and analysis on different NLP tasks, namely, text classification, question answering, and natural language inference, show the effectiveness of ZeroGen.	2145fcceeb69385e108bf1796d52f974854d4c0b	Interpretability and Analysis	117	zero-shot, synthetic data, generation, novel method, distillation, evaluation	zero-shot, synthetic data, generation, novel method, distillation, evaluation
2978		CausaLM: Causal Model Explanation Through Counterfactual Language Models	Interpretability and Analysis of Models for NLP	ACL	2021	10.1162/coli_a_00404	Abstract Understanding predictions made by deep neural networks is notoriously difficult, but also crucial to their dissemination. As all machine learning–based methods, they are as good as their training data, and can also capture unwanted biases. While there are tools that can help understand whether such biases exist, they do not distinguish between correlation and causation, and might be ill-suited for text-based models and for reasoning about high-level language concepts. A key problem of estimating the causal effect of a concept of interest on a given model is that this estimation requires the generation of counterfactual examples, which is challenging with existing generation technology. To bridge that gap, we propose CausaLM, a framework for producing causal model explanations using counterfactual language representation models. Our approach is based on fine-tuning of deep contextualized embedding models with auxiliary adversarial tasks derived from the causal graph of the problem. Concretely, we show that by carefully choosing auxiliary adversarial pre-training tasks, language representation models such as BERT can effectively learn a counterfactual representation for a given concept of interest, and be used to estimate its true causal effect on model performance. A byproduct of our method is a language representation model that is unaffected by the tested concept, which can be useful in mitigating unwanted bias ingrained in the data.1	4f0318290bc75294338fdeb450e4365929b3aa0c	Interpretability and Analysis	116	causality, explanations, novel framework, evaluation, fine-tuning	causality, explanations, novel framework, evaluation, fine-tuning
2551		When Do You Need Billions of Words of Pretraining Data?	Interpretability and Analysis of Models for NLP	ACL	2021	10.18653/v1/2021.acl-long.90	NLP is currently dominated by language models like RoBERTa which are pretrained on billions of words. But what exact knowledge or skills do Transformer LMs learn from large-scale pretraining that they cannot learn from less data? To explore this question, we adopt five styles of evaluation: classifier probing, information-theoretic probing, unsupervised relative acceptability judgments, unsupervised language model knowledge probing, and fine-tuning on NLU tasks. We then draw learning curves that track the growth of these different measures of model ability with respect to pretraining data volume using the MiniBERTas, a group of RoBERTa models pretrained on 1M, 10M, 100M and 1B words. We find that these LMs require only about 10M to 100M words to learn to reliably encode most syntactic and semantic features we test. They need a much larger quantity of data in order to acquire enough commonsense knowledge and other skills required to master typical downstream NLU tasks. The results suggest that, while the ability to encode linguistic features is almost certainly necessary for language understanding, it is likely that other, unidentified, forms of knowledge are the major drivers of recent improvements in language understanding among large pretrained models.	31392ad8722d9c66181b621936e2013199e02edc	Interpretability and Analysis	112	analysis, pre-training data, data analysis, training dynamics, understanding, probing	analysis, pre-training data, data analysis, training dynamics, understanding, probing
2623		Implicit Representations of Meaning in Neural Language Models	Interpretability and Analysis of Models for NLP	ACL	2021	10.18653/v1/2021.acl-long.143	Does the effectiveness of neural language models derive entirely from accurate modeling of surface word co-occurrence statistics, or do these models represent and reason about the world they describe? In BART and T5 transformer language models, we identify contextual word representations that function as *models of entities and situations* as they evolve throughout a discourse. These neural representations have functional similarities to linguistic models of dynamic semantics: they support a linear readout of each entity’s current properties and relations, and can be manipulated with predictable effects on language generation. Our results indicate that prediction in pretrained neural language models is supported, at least in part, by dynamic representations of meaning and implicit simulation of entity state, and that this behavior can be learned with only text as training data.	ac879df2cc36f3f824fa24149517622b6bc7bd09	Interpretability and Analysis	111	probing, steering, representation analysis	linguistics, meaning, representational analysis, understanding, analysis, probing, steering
967	main.407	Compositionality and Generalization In Emergent Languages	Interpretability and Analysis of Models for NLP	ACL	2020	10.18653/v1/2020.acl-main.407	Natural language allows us to refer to novel composite concepts by combining expressions denoting their parts according to systematic rules, a property known as compositionality. In this paper, we study whether the language emerging in deep multi-agent simulations possesses a similar ability to refer to novel primitive combinations, and whether it accomplishes this feat by strategies akin to human-language compositionality. Equipped with new ways to measure compositionality in emergent languages inspired by disentanglement in representation learning, we establish three main results: First, given sufficiently large input spaces, the emergent language will naturally develop the ability to refer to novel composite concepts. Second, there is no correlation between the degree of compositionality of an emergent language and its ability to generalize. Third, while compositionality is not necessary for generalization, it provides an advantage in terms of language transmission: The more compositional a language is, the more easily it will be picked up by new learners, even when the latter differ in architecture from the original agents. We conclude that compositionality does not arise from simple generalization pressure, but if an emergent language does chance upon it, it will be more likely to survive and thrive.	d70af4990cba2574c41b1235030f7a5b702e2d70	Interpretability and Analysis	105	compositional generalization, linguistics, disentangled representations, analysis	compositional generalization, linguistics, disentangled representations, analysis
4789	211	Automatic Prompt Optimization with "Gradient Descent" and Beam Search	Language Modeling and Analysis of Language Models	EMNLP	2023		Large Language Models (LLMs) have shown impressive performance as general purpose agents, but their abilities remain highly dependent on prompts which are hand written with onerous trial-and-error effort. We propose a simple and nonparametric solution to this problem, Automatic Prompt Optimization (APO), which is inspired by numerical gradient descent to automatically improve prompts, assuming access to training data and an LLM API. The algorithm uses minibatches of data to form natural language"gradients"that criticize the current prompt. The gradients are then"propagated"into the prompt by editing the prompt in the opposite semantic direction of the gradient. These gradient descent steps are guided by a beam search and bandit selection procedure which significantly improves algorithmic efficiency. Preliminary results across three benchmark NLP tasks and the novel problem of LLM jailbreak detection suggest that Automatic Prompt Optimization can outperform prior prompt editing techniques and improve an initial prompt's performance by up to 31%, by using data to rewrite vague task descriptions into more precise annotation instructions.	c76dd4a70361c3afd2e19d046343e2dedd16ecc3	Interpretability and Analysis	104	prompting, novel method	prompting, novel method
3800	3260	Active Example Selection for In-Context Learning	Language Modeling and Analysis of Language Models	EMNLP	2022	10.18653/v1/2022.emnlp-main.622	With a handful of demonstration examples, large-scale language models demonstrate strong capability to perform various tasks by in-context learning from these examples, without any fine-tuning. We demonstrate that in-context learning performance can be highly unstable across samples of examples, indicating the idiosyncrasies of how language models acquire information. We formulate example selection for in-context learning as a sequential decision problem, and propose a reinforcement learning algorithm for identifying generalizable policies to select demonstration examples. For GPT-2, our learned policies demonstrate strong abilities of generalizing to unseen tasks in training, with a 5.8% improvement on average. Examples selected from our learned policies can even achieve a small improvement on GPT-3 Ada. However, the improvement diminishes on larger GPT-3 models, suggesting emerging capabilities of large language models.	b8bd29a6104d26a16687400049a4e7e026ae6258	Interpretability and Analysis	103	active learning, in-context learning, demonstration selection, novel method, generalization	active learning, in-context learning, demonstration selection, novel method, generalization
5605	4756	Just Ask for Calibration: Strategies for Eliciting Calibrated Confidence Scores from Language Models Fine-Tuned with Human Feedback	Language Modeling and Analysis of Language Models	EMNLP	2023	10.18653/v1/2023.emnlp-main.330	A trustworthy real-world prediction system should produce well-calibrated confidence scores; that is, its confidence in an answer should be indicative of the likelihood that the answer is correct, enabling deferral to an expert in cases of low-confidence predictions. Recent studies have shown that unsupervised pre-training produces large language models (LMs) whose conditional probabilities are remarkably well-calibrated. However, the most widely-used LMs are fine-tuned with reinforcement learning from human feedback (RLHF-LMs), and some studies have suggested that RLHF-LMs produce conditional probabilities that are very poorly calibrated. In light of this perceived weakness, we conduct a broad evaluation of methods for extracting confidence scores from RLHF-LMs. For RLHF-LMs such as ChatGPT, GPT-4, and Claude, we find that verbalized confidences emitted as output tokens are typically better-calibrated than the model's conditional probabilities on the TriviaQA, SciQ, and TruthfulQA benchmarks, often reducing the expected calibration error by a relative 50%.	ab4ce5dda7ad4d9032995c9c049a89d65723c6aa	Interpretability and Analysis	101	RLHF, calibration, evaluation, confidence scores, methods evaluation	RLHF, calibration, evaluation, confidence scores, methods evaluation
2626		Knowledgeable or Educated Guess? Revisiting Language Models as Knowledge Bases	Interpretability and Analysis of Models for NLP	ACL	2021	10.18653/v1/2021.acl-long.146	Previous literatures show that pre-trained masked language models (MLMs) such as BERT can achieve competitive factual knowledge extraction performance on some datasets, indicating that MLMs can potentially be a reliable knowledge source. In this paper, we conduct a rigorous study to explore the underlying predicting mechanisms of MLMs over different extraction paradigms. By investigating the behaviors of MLMs, we find that previous decent performance mainly owes to the biased prompts which overfit dataset artifacts. Furthermore, incorporating illustrative cases and external contexts improve knowledge prediction mainly due to entity type guidance and golden answer leakage. Our findings shed light on the underlying predicting mechanisms of MLMs, and strongly question the previous conclusion that current MLMs can potentially serve as reliable factual knowledge bases.	e337ed6543c2e6e7e51c312c7d998798fc79fdde	Interpretability and Analysis	99	factual knowledge, artifacts, evaluation analysis, data analysis, prompting, understanding, analysis	factual knowledge, artifacts, evaluation analysis, data analysis, prompting, understanding, analysis
1886		Mind the Style of Text! Adversarial and Backdoor Attacks Based on Text Style Transfer	Interpretability and Analysis of Models for NLP	EMNLP	2021	10.18653/v1/2021.emnlp-main.374	Adversarial attacks and backdoor attacks are two common security threats that hang over deep learning. Both of them harness task-irrelevant features of data in their implementation. Text style is a feature that is naturally irrelevant to most NLP tasks, and thus suitable for adversarial and backdoor attacks. In this paper, we make the first attempt to conduct adversarial and backdoor attacks based on text style transfer, which is aimed at altering the style of a sentence while preserving its meaning. We design an adversarial attack method and a backdoor attack method, and conduct extensive experiments to evaluate them. Experimental results show that popular NLP models are vulnerable to both adversarial and backdoor attacks based on text style transfer—the attack success rates can exceed 90% without much effort. It reflects the limited ability of NLP models to handle the feature of text style that has not been widely realized. In addition, the style transfer-based adversarial and backdoor attack methods show superiority to baselines in many aspects. All the code and data of this paper can be obtained at https://github.com/thunlp/StyleAttack.	342f6ae2ebfc0ddddf15e8ba910eab6f2e06bf83	Interpretability and Analysis	97	adversarial evaluation, backdoor attacks, style transfer, evaluation	adversarial evaluation, backdoor attacks, style transfer, evaluation
4758	60	Dissecting Recall of Factual Associations in Auto-Regressive Language Models	Interpretability, Interactivity, and Analysis of Models for NLP	EMNLP	2023	10.18653/v1/2023.emnlp-main.751	Transformer-based language models (LMs) are known to capture factual knowledge in their parameters. While previous work looked into where factual associations are stored, only little is known about how they are retrieved internally during inference. We investigate this question through the lens of information flow. Given a subject-relation query, we study how the model aggregates information about the subject and relation to predict the correct attribute. With interventions on attention edges, we first identify two critical points where information propagates to the prediction: one from the relation positions followed by another from the subject positions. Next, by analyzing the information at these points, we unveil a three-step internal mechanism for attribute extraction. First, the representation at the last-subject position goes through an enrichment process, driven by the early MLP sublayers, to encode many subject-related attributes. Second, information from the relation propagates to the prediction. Third, the prediction representation"queries"the enriched subject to extract the attribute. Perhaps surprisingly, this extraction is typically done via attention heads, which often encode subject-attribute mappings in their parameters. Overall, our findings introduce a comprehensive view of how factual associations are stored and extracted internally in LMs, facilitating future research on knowledge localization and editing.	133b97e40017a9bbbadd10bcd7f13088a97ca3cc	Interpretability and Analysis	96	factual knowledge, information flow, model editing, attention analysis, representation analysis, interventions, analysis	factual knowledge, information flow, model editing, attention analysis, representation analysis, MLP analysis, interventions, analysis
273	main.2238	With Little Power Comes Great Responsibility	Interpretability and Analysis of Models for NLP	EMNLP	2020	10.18653/v1/2020.emnlp-main.745	Despite its importance to experimental design, statistical power (the probability that, given a real effect, an experiment will reject the null hypothesis) has largely been ignored by the NLP community. Underpowered experiments make it more difficult to discern the difference between statistical noise and meaningful model improvements, and increase the chances of exaggerated findings.  By meta-analyzing a set of existing NLP papers and datasets, we characterize typical power for a variety of settings and conclude that underpowered experiments are common in the NLP literature. In particular, for several tasks in the popular GLUE benchmark, small test sets mean that most attempted comparisons to state of the art models will not be adequately powered. Similarly, based on reasonable assumptions, we find that the most typical experimental design for human rating studies will be  underpowered to detect small model differences, of the sort that are frequently studied. For machine translation, we find that typical test sets of 2000 sentences have approximately 75% power to detect differences of 1 BLEU point. To improve the situation going forward, we give an overview of best practices for power analysis in NLP and release a series of notebooks to assist with future power analyses.	186d26390779f7c54930e05812cfe85e6973961f	Interpretability and Analysis	94	statistics, statistical power analysis, data analysis, evaluation analysis, meta-analysis, novel metric	statistics, statistical power analysis, data analysis, evaluation analysis, meta-analysis, novel metric
376	main.2696	On the Ability and Limitations of Transformers to Recognize Formal Languages	Interpretability and Analysis of Models for NLP	EMNLP	2020	10.18653/v1/2020.emnlp-main.576	Transformers have supplanted recurrent models in a large number of NLP tasks. However, the differences in their abilities to model different syntactic properties remain largely unknown. Past works suggest that LSTMs generalize very well on regular languages and have close connections with counter languages. In this work, we systematically study the ability of Transformers to model such languages as well as the role of its individual components in doing so. We first provide a construction of Transformers for a subclass of counter languages, including well-studied languages such as n-ary Boolean Expressions, Dyck-1, and its generalizations. In experiments, we find that Transformers do well on this subclass, and their learned mechanism strongly correlates with our construction. Perhaps surprisingly, in contrast to LSTMs, Transformers do well only on a subset of regular languages with degrading performance as we make languages more complex according to a well-known measure of complexity. Our analysis also provides insights on the role of self-attention mechanism in modeling certain behaviors and the influence of positional encoding schemes on the learning and generalization abilities of the model.	10c86505de83647c7b4157595ab10f64e97c94ef	Interpretability and Analysis	92	formal languages, analysis, learnability, attention analysis	formal languages, analysis, learnability, attention analysis
